_SAPPCTXT_HEADER_               002 7500 CHART RO 1404 27.04.2017-23:50 OK 
18005                           016 "Mãrime:"
18007                           017 "Culoare:"
18009                           017 "Efecte"
18010                           024 "Barat"
18011                           020 "Subliniere"
18012                           017 "Previzualizare"
18013                           019 "Grafitti"
18600                           015 "Tipãrire"
18601                           017 "Imprimantã"
18604                           024 "Tipãrire la fiºier"
18605                           024 "Proprietãþi..."
18606                           021 "Interval de tipãr."
18607                           014 "Tot"
18608                           022 "Pagini de la:"
18611                           014 "la:"
18614                           016 "Copii"
18615                           028 "Numãr de copii:"
18619                           018 "Colaþionare"
18620                           024 "Previzualiz.tipãrire"
18621                           024 "Setare paginã..."
18700                           014 "Paginã"
18701                           022 "Dimensiune hârtie:"
18703                           025 "Calitate tipãrire:"
18705                           021 "Orientare"
18706                           019 "Vertical"
18707                           021 "Orizontal"
18708                           016 "Centrare"
18709                           023 "Orizontal"
18710                           021 "Vertical"
18800                           022 "Margini paginã"
18801                           016 "Chenar"
18802                           016 "Stânga:"
18805                           017 "Dreapta:"
18808                           015 "Sus:"
18811                           018 "Jos:"
18814                           017 "Margini"
18815                           018 "Antet:"
18818                           018 "Notã de subsol:"
18821                           017 "Previzualizare"
18900                           017 "Opþiuni"
18901                           017 "Scalare"
18902                           017 "Scalã:"
18905                           018 "Potrivire la:"
18908                           017 "Pagina(i)"
18909                           019 "Vertical"
18910                           021 "Orizontal"
18911                           021 "&Opþiuni..."
19000                           015 "Tipãrire"
20000                           029 "%lz z, %lz h, %lz m"
20001                           022 "%lz h, %lz m"
20002                           014 "ZHM,"
20017                           114 "Marginile imprimantei sunt mai mari decât acele ale pagini. \nTrebuie sã fie adaptate marginile la pagina?"
20018                           056 "Trebuie selectatã o imprimantã capabilã sã tipãreascã."
20019                           020 "Setare paginã"
20020                           014 "Auto"
20023                           041 "Insuficiente resurse disponibile"
20024                           029 "Eroare la salvare"
20025                           030 "Eroare la încãrcare"
20026                           017 "Culoare:"
20027                           022 "Foreground:"
20028                           022 "Background:"
20029                           023 "Culoare haºurã:"
20030                           016 "De la:"
20031                           014 "La:"
20032                           019 "Model:"
20033                           017 "Haºurã:"
20034                           020 "Gradient:"
20064                           019 "Tipãrire..."
20066                           024 "Setare paginã..."
20072                           030 "Închidere previzualiz.tipãr."
20087                           017 "Necunoscut"
20088                           014 "Subþire"
20089                           021 "Foarte subþire"
20090                           015 "Subþire"
20091                           017 "Obiºnuit"
20092                           016 "Mediu"
20093                           018 "Semibold"
20094                           014 "Bold"
20095                           020 "Extra bold"
20096                           015 "Gros"
20097                           021 "Foarte gros"
20098                           017 "Italice"
20099                           017 "Necunoscut"
20105                           019 "Subliniat"
20108                           022 "AaBbCcDdYyZz"
20109                           016 "Obiect"
20110                           017 "Obiecte"
20111                           033 "Fiºierul nu a putut fi citit!"
20112                           081 "Nu existã destulã memorie. Închideþi una sau mai multe aplicaþii."
20113                           044 "Stilul selectat nu existã."
20114                           058 "Mãrimea fontului trebuie sã fie între 1 ºi 1635."
20115                           089 "Fontul selectat nu este disponibil în sistemul dvs. Mai doriþi sã-l utilizaþi?"
20119                           020 "Obiect..."
20128                           057 "Factorul de zoom trebuie sã fie între 25% ºi 400%."
20141                           055 "Introduceþi o valoare mai mare decât sau egalã cu 0!"
20142                           055 "Introduceþi o valoare mai mare decât sau egalã cu 1!"
20145                           079 "Numãrul de pagini de ajustat trebuie sã fie cel puþin 1 ºi cel mult 100!"
20147                           014 "Ridicat"
20148                           016 "Mediu"
20149                           013 "Scãzut"
20150                           016 "Schiþã"
20154                           023 "Legendã format"
20162                           091 "Nu existã imprimantã instalatã sau nu a fost definitã nici o imprim.ca imprimantã standard."
22000                           031 "Formatare zonã diagramã..."
22001                           024 "Tip diagramã..."
22002                           025 "Sursã de date..."
22003                           027 "Opþiuni diagramã..."
22004                           021 "Format plot"
22005                           020 "Tip diagr."
22006                           023 "Opþiuni diagramã"
22007                           032 "Formatare serii de date..."
22008                           017 "&ªtergere"
22009                           028 "Formatare serii de date"
22010                           019 "Suprapunere:"
22011                           014 "Renunþare"
22012                           027 "Linii de conectare"
22014                           030 "Mãrime pt. a doua trasare"
22015                           021 "Linii de proiecþie"
22018                           032 "Unghiu al primului segment"
22020                           030 "Mãrime diametru tor:"
22021                           012 "CW"
22022                           032 "Prezentare bubbles negative"
22023                           033 "Potrivire diam.bubble la:"
22024                           022 "% din implicit"
22025                           031 "Formatare punct date..."
22026                           027 "Formatare punct date"
22027                           032 "Formatare etichete date..."
22028                           028 "Formatare etichete date"
22029                           031 "Formatare etichetã date..."
22030                           027 "Formatare etichetã date"
22031                           018 "Standard"
22032                           025 "Formatare axã..."
22033                           021 "Formatare axã"
22034                           060 "Valoarea minimã trebuie sã fie mai mare decât zero"
22035                           055 "Minima sã fie mai micã decât maxima"
22036                           031 "Formatare linii grilã..."
22037                           026 "Formatare linii grilã"
22038                           027 "Formatare linii proiecþie"
22039                           031 "Formatare linii proiecþie..."
22040                           029 "Formatare linii de serie"
22041                           033 "Formatare linii de serii..."
22042                           027 "Formatare cheie legendã"
22043                           029 "Formatare index legendã"
22044                           031 "Formatare cheie legendã..."
22045                           033 "Formatare index legendã..."
22046                           028 "Formatare legendã..."
22047                           026 "Formatare diagramã..."
22048                           022 "Bare eroare X"
22049                           022 "Bare eroare Y"
22050                           031 "Formatare bare de eroare..."
22051                           027 "Formatare bare de eroare"
22052                           021 "Sursã date"
22053                           021 "Serii date"
22054                           018 "Valori:"
22055                           022 "X - Valori:"
22056                           028 "Referinþã nevalabilã!"
22057                           035 "Formatare linii maxime-minime..."
22058                           031 "Formatare linii maxime-minime"
22059                           017 "Terminare"
22060                           022 "Asistent diagramã"
22061                           028 "Formatare bare pozitive..."
22062                           024 "Formatare bare pozitive"
22063                           030 "Formatare bare negative..."
22064                           026 "Formatare bare negative"
22065                           049 "Al doilea element plotare conþine ult.:"
22066                           016 "Valori"
22067                           056 "Al doilea plot conþine toate valorile mai mici decât:"
22068                           056 "Al doilea plot conþine toate valorile mai mici decât:"
22069                           057 "Utilizare mouse pt.schimb.segmente între graf.sect.circ."
22070                           065 "Un grafic de stoc max.-min.trebuie sã conþinã 3 serii."
22074                           036 "Tip diagramã nu a putut fi utilizat."
22075                           026 "Modificare valoare..."
22076                           032 "Formatare interval valori..."
22077                           028 "Formatare interval valori"
22078                           027 "Formatare zonã diaagramã"
22079                           094 "Distanþa trebuie sã fie între 0 ºi 500. Încercaþi din nou introducând o val.din acest interv."
22080                           111 "Unghiul primului segment trebuie sã fie între 0 ºi 360. Încercaþi din nou introd.unui unghi din acest interv."
22081                           104 "Mãrime diam.tor trebuie sã fie între 10 ºi 90. Încercaþi din nou introd.unei val.din acest interv."
22082                           096 "Suprapunerea treb.sã fie între -100 ºi 100. Încercaþi din nou introd. o val.din acest interv."
22083                           094 "Distanþa trebuie sã fie între 0 ºi 200. Încercaþi din nou introd.o val.din acest interv."
22084                           114 "Mãrimea celui de-al doilea plot trebuie sã fie între 5 ºi 200. Încercaþi din nou introd.o val.din acest interv."
22085                           095 "Numãrul trebuie sã fie între 1 ºi 31999. Încercaþi din nou introducând un nr.din acest interv."
22086                           020 "Distanþã:"
22088                           016 "Liniar"
22089                           021 "Logaritmic"
22090                           014 "Orã"
22091                           014 "Nimic"
22092                           031 "Mãrire axã scalã timp"
22093                           030 "Formatare zonã de plotare..."
22094                           016 "Formatare"
22095                           055 "Mãrime marcator trebuie sã fie mai mare decât 0"
22096                           047 "Unitatea majorã trebuie sã fie mai mare ca 0."
22097                           047 "Unitatea minorã trebuie sã fie mai mare ca 0."
22098                           024 "Valoare nevalabilã"
22099                           029 "Formatare suprafeþe sup. ..."
22100                           017 "Minim"
22101                           017 "Maxim"
22102                           017 "Optim"
22103                           018 "Poziþie"
22104                           034 "Formatare titlu interval de valori"
22105                           038 "Formatare titlu interval de valori..."
22106                           027 "Etichetã axã radar"
22107                           016 "Axa X"
22108                           016 "Axa Y"
22109                           016 "Axa Z"
22110                           014 "Grilã"
22111                           019 "Suprafaþã desen"
22112                           027 "Titlu interval de valori"
22113                           021 "Interval de valori"
22114                           019 "Bare negative"
22115                           017 "Bare pozitive"
22116                           024 "Linii maxime-minime"
22117                           020 "Bare de eroare"
22118                           022 "Linii de serii"
22119                           020 "Linii de proiecþie"
22120                           017 "Serii:"
22121                           019 "Texturã:"
22122                           017 "Etichetã:"
22123                           034 "Modif.segmente diagr.sect.circ."
22124                           027 "Adãug.linie de tendinþã..."
22125                           030 "Formatare linie de tendinþã..."
22126                           026 "Formatare linie tendinþã"
22127                           036 "Formatare etichetã lin.tendinþã..."
22128                           032 "Formatare etichetã linie tend."
22129                           020 "Linie de tendinþã"
22130                           025 "Etichetã linie tendinþã"
22131                           022 "Imagine 3D..."
22132                           049 "Rotaþia trebuie sã fie între 0 ºi 360."
22133                           048 "Înãlþimea trebuie sã fie între -90 ºi 90."
22134                           052 "Perspectiva trebuie sã fie între 0 ºi 100."
22135                           024 "Rând axa (Z):"
22136                           026 "Valoare axã (Y):"
22138                           022 "Formatare plan de bazã"
22139                           026 "Formatare plan de bazã..."
22140                           022 "Formatare pereþi"
22141                           026 "Formatare pereþi..."
22142                           015 "Copiere"
22143                           021 "Adâncime interval:"
22144                           025 "Sursã de date..."
22145                           025 "Formatare suprafeþe sup."
22146                           030 "Salvare ca model..."
22147                           060 "Fiºiere diagr. (*.icc)|*.icc|Toate fiºierele (*.*) | *.* ||"
22148                           026 "Salvare ca model"
22149                           089 "Mãrimea axei scalei de timp este prea mare. Va fi automat adaptatã."
22151                           027 "Încãrcare model..."
22152                           043 "Axa de valori (X) se intersecteazã la maxim"
22153                           023 "Încãrcare model"
22154                           036 "Axa de valori (X) se intersect.la:"
22155                           043 "Axa de valori (Y) se intersecteazã la maxim"
22156                           032 "Axa de valori se inters.la:"
22157                           116 "Numãrul de perioade de medie variabilã trebuie sã fie cel puþin 2 ºi mai micã decât nr.de puncte de date."
22158                           080 "Valorile prognozei în amonte ºi în aval trebuie sã fie mai mari decât 0."
22159                           021 "Etichetã radar"
22160                           032 "Formatare etichetã radar..."
22161                           028 "Formatare etichetã radar"
22162                           048 "Înãlþimea trebuie sã fie între -45 ºi 45."
22163                           047 "Înãlþimea trebuie sã fie între 10 ºi 90."
22164                           018 "Imagine 3D"
22165                           051 "Lãþimea unei zile trebuie sã fie mai mare decât 0!"
22166                           027 "Formatare tabel date"
22167                           031 "Formatare tabel date..."
22168                           020 "Tabel date"
22169                           028 "Axã de categorie (Y)"
22170                           025 "Axã de valori (X)"
22173                           117 "Categoria iniþialã nu trebuie sã fie mai micã decât 1. Valoarea va fi ajustatã corespunzãtor."
22174                           113 "Numãrul de categorii vizibile nu trebuie sã fie mai mic decât 1. Valoarea va fi ajustatã corespunzãtor."
22175                           039 "Adãugare distribuþie standard..."
22176                           042 "Formatare distribuþie standard..."
22177                           019 "Tipãrire..."
22178                           024 "Previzualizare tipãrire"
22179                           066 "Valoarea iniþialã trebuie sã fie diferitã de val.de oprire."
22180                           077 "- Click 'Da' pt. modif. toate serii de date în tipul de diagramã ales."
22181                           054 "- Click 'Nu' pt. pãstrarea tipului de diagramã curent."
22191                           029 "Clase histogramã"
22192                           032 "Distribuþie standard:"
22193                           038 "Etichetã distribuþie standard:"
22194                           038 "Formatare distribuþie standard"
22195                           044 "Formatare etichetã distribuþie standard"
22196                           048 "Formatare etichetã distribuþie standard..."
22197                           037 "Formatare linie timp efectiv..."
22198                           033 "Formatare linie timp efectiv"
22199                           029 "Adãugare interval valorie..."
22200                           031 "Formatare suprafeþe inf. ..."
22201                           027 "Formatare suprafeþe inf."
22202                           018 "Suprafeþe sup."
22203                           020 "Suprafeþe inf."
22204                           015 "De la:"
22205                           013 "Pânã la:"
22206                           022 "Stil imagine:"
22207                           032 "Formatare domeniu semnal..."
22208                           028 "Formatare domenii semnal"
22209                           034 "Formatare etichetã indicator..."
22210                           014 "Linie"
22211                           026 "Formatare tabel..."
22212                           022 "Formatare tabel"
22213                           020 "Font titlu"
22214                           023 "Adãugare tabel..."
22215                           024 "Adãugare buton..."
22216                           027 "Formatare coloanã..."
22217                           023 "Formatare coloanã"
22218                           031 "Coloana este prea micã!"
22219                           025 "Formatare celulã..."
22220                           021 "Formatare celulã"
22221                           035 "Formatare etichete indicator..."
22222                           030 "Formatare etichetã indic."
22223                           031 "Formatare etichetã indic."
22224                           023 "Formatare buton"
22225                           027 "Formatare buton..."
22226                           036 "Afiºare valori contur bubble"
22228                           127 "Bara de timp nu poate fi creatã, pt. cã intervalul este prea mare. Dacã alegeþi Anulare, data maximã va fi redusã."
22229                           016 "Etape"
22230                           014 "Mai mult"
22231                           031 "Distribuþie standard"
22232                           019 "Subtitlu"
22233                           012 "A"
22235                           020 "Font titlu"
22236                           019 "Font celulã"
22237                           019 "Diag.cu sect.circ."
22238                           036 "Formatare unitate titlu axã..."
22239                           051 "Definiþie format de numãr este nevalabilã!"
22240                           092 "Sunt numai 10 intervale de valori permise!\nIntervale de valori suplimentare vor fi elim."
22241                           025 "Sursã de date..."
22242                           035 "Adãugare distribuþie standard"
22400                           107 "Setãrile de scalã de timp conduc la prea multe unitãþi. Aceasta va cauza eventuale redesenãri lente."
22401                           054 " Sunteþi sigur cã toate setãrile sunt corecte?"
22410                           101 "Numãrul categoriilor vizibile nu trebuie sã depãºeascã numãrul categoriilor existente."
22411                           056 " Valoarea va fi ajustatã corespunzãtor."
22420                           132 "Adãugarea valorii categoriei vizibile la categoria iniþialã duce la depãºirea numãrului de categorii."
22421                           056 " Valoarea va fi ajustatã corespunzãtor."
22430                           132 "Tip diagr. nu poate fi modif.într-o diagramã stoc. O diagr. stoc necesitã 3, 4 sau 5 serii de date pt.desenarea unui singur pct."
22431                           046 " Încercaþi una din urmãtoarele soluþii:"
22432                           070 "- Click 'OK' pt.alocarea graficului stoc la toate seriile de date."
22433                           092 " Numai o diagramã stoc va fi creatã doar dacã existã suficiente serii de date în tabel."
22434                           050 "- Click 'Anulare' pt.închiderea mesajului."
22435                           132 " Dupã aceasta, alegeþi alt tip de diagramã care poate afiºa o singurã serie de date, de exemplu un tip diagramã liniarã."
22460                           065 "Diagramele 2D ºi 3D nu pot fi combinate între ele."
22461                           132 " Modificaþi seriile de date pt.diagrama 2D astfel încât ambele diagrame sã poatã fi combinate într-o diagramã 3D?"
22462                           094 "- Click 'Da' pt. modificarea seriilor de date pt.ca sã poatã fie combinate într-o diagramã 3D."
22464                           064 "- Click 'Nu' pt. anularea combinaþiei de diagrame."
22470                           065 "Diagramele 3D ºi 2D nu pot fi combinate între ele."
22471                           132 " Modificaþi seriile de date din diagrama 3D astfel încât ambele diagrame sã fie combinate într-o diagramã 2D?"
22472                           091 "- Click 'Da' pt. modif.serii de date astfel încât ele sã fie combinate într-o diagramã 2D."
22474                           064 "- Click 'Nu' pt. anularea combinaþiei de diagrame."
22480                           060 " Diagrama nu pot fi combinatã cu alte tipuri de diagrame."
22481                           090 " Modificaþi toate seriile de date ale acestei diagrame în tipul de diagramã selectat?"
22490                           132 "Pt.a crea aceastã diagramã stoc, aranjaþi datele pe foaia dvs în aceastã ordine: preþ iniþial, preþ ridicat, preþ mic ºi preþ final."
22491                           050 " Utilizaþi termene sau nume stocuri ca etichete."
22500                           132 "Pt.a crea aceastã diagramã stoc, aranjaþi datele pe foaia dvs.în ac.ordine: volum negociat, preþ ridicat, preþ mic ºi preþ final."
22501                           050 " Utilizaþi termene sau nume stocuri ca etichete."
22510                           132 "Pt.a crea aceastã diagramã stoc, aranjaþi datele pe foaia dvs în ac.ordine: volum negociat, preþ iniþial, ridicat, mic ºi final."
22511                           050 " Utilizaþi termene sau nume stocuri ca etichete."
22550                           015 "Alb"
22551                           015 "Negru"
22552                           013 "Roºu"
22553                           016 "Galben"
22554                           015 "Verde"
22555                           014 "Cyan"
22556                           014 "Albastru"
22557                           017 "Magenta"
22600                           013 "Tot"
22601                           016 "Def.de utiliz."
22602                           016 "Numãr"
22603                           021 "Contabilitate"
22604                           014 "Datã"
22605                           014 "Orã"
22606                           017 "Procent"
22607                           018 "Fracþie"
22608                           017 "ªtiinþã"
22609                           014 "Text"
22610                           018 "Monedã"
23000                           013 "Sus"
23001                           016 "Centrare"
23002                           016 "Jos"
23003                           016 "Divizare"
23010                           014 "Stânga"
23011                           016 "Centrare"
23012                           015 "Dreapta"
23013                           016 "Divizare"
23020                           015 "Deasupra"
23021                           015 "Mai jos"
23022                           020 "Cea mai bunã lãþime"
23023                           016 "Centrare"
23024                           021 "Bazã internã"
23025                           020 "Sfârºit intern"
23026                           014 "Stânga"
23027                           015 "Mixt"
23028                           021 "SFârºit extern"
23029                           015 "Dreapta"
23030                           031 "Formatare etichetã axã..."
23031                           032 "Formatare titlu grafic..."
23032                           027 "Formatare etichetã axã"
23033                           028 "Formatare titlu grafic"
23034                           016 "Liniar"
23035                           021 "Logaritmic"
23036                           019 "Potenþial"
23037                           021 "Exponenþial"
23038                           024 "Medie variabilã"
23039                           019 "Editare text"
23040                           019 "Automat"
23041                           017 "Minim"
23042                           017 "Maxim"
23043                           016 "Def.de utiliz."
23050                           017 "Coloane"
23051                           014 "Bare"
23052                           015 "Linii"
23053                           017 "Profil"
23054                           014 "Diagr.sect.cir"
23055                           022 "XY (Împrãºtiere)"
23056                           014 "Domeniu"
23057                           018 "Structurã inelarã"
23058                           015 "Radar"
23059                           019 "Portofoliu"
23060                           015 "Stoc"
23061                           017 "Suprafaþã"
23062                           018 "Cilindru"
23063                           014 "Con"
23064                           017 "Piramidã"
23065                           019 "Reper"
23066                           015 "Etape"
23067                           019 "Histogramã"
23068                           020 "Tahometru"
23069                           018 "Quadrant"
23070                           024 "Bare multicolorate"
23090                           014 "Date"
23091                           020 "Cheie legendã"
24000                           018 "Poziþie"
24001                           015 "Valoare"
24002                           017 "Procent"
25100                           018 "Imagine 3D"
25103                           021 "Elevaþie:"
25107                           023 "Perspectivã:"
25111                           020 "Rotaþie:"
25113                           023 "Auto scalare"
25114                           027 "Axe în unghi drept"
25115                           018 "Înãlþime:"
25118                           011 "%"
25119                           018 "&Implicit"
25200                           019 "Aliniere"
25201                           024 "Aliniere text"
25202                           022 "Orizontal:"
25204                           020 "Vertical:"
25206                           020 "Poziþie:"
25208                           021 "Orientare"
25300                           014 "Axe"
25301                           022 "Axã primarã"
25302                           029 "Axã categorie (X)"
25303                           026 "Axã de valori (Y)"
25304                           027 "Axã de serii (Z)"
25305                           024 "Axã secundarã"
25306                           029 "Axã categorie (X)"
25307                           025 "Axã de valori (Y)"
25400                           019 "Aliniere"
25401                           021 "Orientare"
25500                           014 "Linie"
25501                           014 "Linie"
25502                           020 "Automat"
25503                           016 "Def.de utiliz."
25504                           017 "Stil:"
25506                           017 "Culoare:"
25508                           030 "Tip marcaj de reper major"
25509                           015 "Nimic"
25510                           016 "Interior"
25511                           017 "Exterior"
25512                           015 "Cruce"
25513                           030 "Tip marcaj de reper minor"
25514                           015 "Nimic"
25515                           016 "Interior"
25516                           017 "Exterior"
25517                           015 "Cruce"
25518                           026 "Etichete marcaj de reper"
25519                           015 "Nimic"
25520                           013 "Scãzut"
25521                           014 "Ridicat"
25522                           022 "Lângã axã"
25523                           016 "Model"
25600                           014 "Axe"
25601                           024 "Trasare serii la"
25602                           023 "Axã primarã"
25603                           025 "Axã secundarã"
25700                           019 "Barã eroare"
25701                           017 "Afiºare"
25703                           022 "Sumã eroare"
25704                           023 "Valoare fixã:"
25705                           021 "Procentaj:"
25706                           029 "Abatere standard:"
25707                           024 "Eroare standard"
25708                           017 "Personalizat:"
25711                           011 "%"
25713                           011 "+"
25715                           011 "_"
25800                           019 "Linii de grilã"
25801                           028 "Axã categorie (X)"
25802                           026 "Linii de grilã majore"
25803                           026 "Linii de grilã minore"
25804                           025 "Axã de valori (Y)"
25805                           026 "Linii de grilã majore"
25806                           026 "Linii de grilã minore"
25807                           026 "Axã de serii (Z)"
25808                           026 "Linii de grilã majore"
25809                           026 "Linii de grilã minore"
25810                           028 "Axã categorie (X)"
25811                           026 "Linii de grilã majore"
25812                           026 "Linii de grilã minore"
25813                           025 "Axã de valori (Y)"
25814                           026 "Linii de grilã majore"
25815                           026 "Linii de grilã minore"
25816                           022 "Axã primarã"
25817                           024 "Axã secundarã"
25900                           014 "Linie"
25901                           020 "Automat"
25902                           017 "Personalizare"
25903                           014 "Linie"
25904                           017 "Stil:"
25906                           017 "Culoare:"
25908                           016 "Model"
25909                           016 "Marcator"
26000                           021 "Etichete de date"
26001                           021 "Etichete de date"
26002                           015 "Nimic"
26003                           020 "Prezentare valoare"
26004                           022 "Prezentare procent"
26005                           020 "Prezentare etichetã"
26006                           032 "Prez.etichetã ºi procent"
26007                           026 "Afiº. mãrime bubble"
26009                           030 "Afiº. etichetã ºi valoare"
26010                           029 "Afiº. valoare X ºi Y"
26011                           036 "Afiº. mãrime etichetã ºi bubble"
26100                           016 "Legendã"
26101                           014 "Tip"
26103                           027 "Bubbles de referinþã"
